rounds	row	columns	wordsize	kolumns	block	key	full-diffusion
18	2	5	5	12	50	120	10
19	2	5	5	13	50	130	12
20	2	5	5	14	50	140	12
21	2	5	5	15	50	150	8
22	2	5	5	16	50	160	8
11	2	5	6	5	60	60	12
12	2	5	6	6	60	72	16
13	2	5	6	7	60	84	8
14	2	5	6	8	60	96	8
15	2	5	6	9	60	108	12
16	2	5	6	10	60	120	16
17	2	5	6	11	60	132	10
18	2	5	6	12	60	144	8
19	2	5	6	13	60	156	12
20	2	5	6	14	60	168	10
21	2	5	6	15	60	180	10
22	2	5	6	16	60	192	14
11	2	5	7	5	70	70	8
12	2	5	7	6	70	84	12
13	2	5	7	7	70	98	12
14	2	5	7	8	70	112	10
15	2	5	7	9	70	126	10
16	2	5	7	10	70	140	10
17	2	5	7	11	70	154	12
18	2	5	7	12	70	168	10
19	2	5	7	13	70	182	10
20	2	5	7	14	70	196	12
21	2	5	7	15	70	210	10
22	2	5	7	16	70	224	10
11	2	5	8	5	80	80	10
12	2	5	8	6	80	96	12
13	2	5	8	7	80	112	10
14	2	5	8	8	80	128	12
15	2	5	8	9	80	144	10
16	2	5	8	10	80	160	10
17	2	5	8	11	80	176	10
18	2	5	8	12	80	192	12
19	2	5	8	13	80	208	12
20	2	5	8	14	80	224	10
21	2	5	8	15	80	240	12
22	2	5	8	16	80	256	12
11	2	5	9	5	90	90	10
12	2	5	9	6	90	108	10
13	2	5	9	7	90	126	16
14	2	5	9	8	90	144	10
15	2	5	9	9	90	162	10
16	2	5	9	10	90	180	10
17	2	5	9	11	90	198	10
18	2	5	9	12	90	216	10
19	2	5	9	13	90	234	10
20	2	5	9	14	90	252	12
21	2	5	9	15	90	270	12
22	2	5	9	16	90	288	12
11	2	5	10	5	100	100	10
12	2	5	10	6	100	120	12
13	2	5	10	7	100	140	10
14	2	5	10	8	100	160	12
15	2	5	10	9	100	180	12
16	2	5	10	10	100	200	10
17	2	5	10	11	100	220	12
18	2	5	10	12	100	240	10
19	2	5	10	13	100	260	12
20	2	5	10	14	100	280	14
21	2	5	10	15	100	300	10
22	2	5	10	16	100	320	10
11	2	5	11	5	110	110	12
12	2	5	11	6	110	132	10
13	2	5	11	7	110	154	12
14	2	5	11	8	110	176	10
15	2	5	11	9	110	198	10
16	2	5	11	10	110	220	12
17	2	5	11	11	110	242	12
18	2	5	11	12	110	264	10
19	2	5	11	13	110	286	10
20	2	5	11	14	110	308	14
21	2	5	11	15	110	330	14
22	2	5	11	16	110	352	10
11	2	5	12	5	120	120	10
12	2	5	12	6	120	144	12
13	2	5	12	7	120	168	12
16	2	5	12	10	120	240	12
14	2	5	12	8	120	192	10
15	2	5	12	9	120	216	10
18	2	5	12	12	120	288	10
19	2	5	12	13	120	312	10
21	2	5	12	15	120	360	12
17	2	5	12	11	120	264	16
22	2	5	12	16	120	384	10
20	2	5	12	14	120	336	14
11	2	5	13	5	130	130	10
12	2	5	13	6	130	156	10
13	2	5	13	7	130	182	12
14	2	5	13	8	130	208	10
16	2	5	13	10	130	260	10
15	2	5	13	9	130	234	12
18	2	5	13	12	130	312	12
17	2	5	13	11	130	286	12
21	2	5	13	15	130	390	12
19	2	5	13	13	130	338	10
20	2	5	13	14	130	364	12
22	2	5	13	16	130	416	12
11	2	5	14	5	140	140	10
13	2	5	14	7	140	196	10
14	2	5	14	8	140	224	10
15	2	5	14	9	140	252	10
12	2	5	14	6	140	168	14
16	2	5	14	10	140	280	12
17	2	5	14	11	140	308	12
20	2	5	14	14	140	392	10
18	2	5	14	12	140	336	10
19	2	5	14	13	140	364	10
21	2	5	14	15	140	420	12
22	2	5	14	16	140	448	14
13	2	5	15	7	150	210	12
11	2	5	15	5	150	150	12
12	2	5	15	6	150	180	10
14	2	5	15	8	150	240	14
15	2	5	15	9	150	270	16
18	2	5	15	12	150	360	12
16	2	5	15	10	150	300	12
17	2	5	15	11	150	330	10
19	2	5	15	13	150	390	10
20	2	5	15	14	150	420	10
21	2	5	15	15	150	450	10
11	2	5	16	5	160	160	10
12	2	5	16	6	160	192	10
22	2	5	15	16	150	480	12
15	2	5	16	9	160	288	12
13	2	5	16	7	160	224	10
14	2	5	16	8	160	256	14
16	2	5	16	10	160	320	12
17	2	5	16	11	160	352	14
20	2	5	16	14	160	448	10
12	2	6	3	6	36	36	12
21	2	5	16	15	160	480	12
18	2	5	16	12	160	384	12
19	2	5	16	13	160	416	12
13	2	6	3	7	36	42	12
22	2	5	16	16	160	512	12
19	2	6	3	13	36	78	12
14	2	6	3	8	36	48	14
15	2	6	3	9	36	54	14
17	2	6	3	11	36	66	12
18	2	6	3	12	36	72	14
16	2	6	3	10	36	60	16
20	2	6	3	14	36	84	14
21	2	6	3	15	36	90	14
12	2	6	4	6	48	48	14
22	2	6	3	16	36	96	12
13	2	6	4	7	48	56	14
14	2	6	4	8	48	64	12
15	2	6	4	9	48	72	14
17	2	6	4	11	48	88	12
18	2	6	4	12	48	96	14
16	2	6	4	10	48	80	16
19	2	6	4	13	48	104	12
20	2	6	4	14	48	112	12
21	2	6	4	15	48	120	12
12	2	6	5	6	60	60	12
22	2	6	4	16	48	128	14
13	2	6	5	7	60	70	12
15	2	6	5	9	60	90	12
14	2	6	5	8	60	80	12
16	2	6	5	10	60	100	12
17	2	6	5	11	60	110	12
18	2	6	5	12	60	120	14
19	2	6	5	13	60	130	12
22	2	6	5	16	60	160	12
21	2	6	5	15	60	150	12
20	2	6	5	14	60	140	16
15	2	6	6	9	72	108	12
12	2	6	6	6	72	72	12
14	2	6	6	8	72	96	14
13	2	6	6	7	72	84	16
18	2	6	6	12	72	144	12
19	2	6	6	13	72	156	12
17	2	6	6	11	72	132	16
20	2	6	6	14	72	168	14
16	2	6	6	10	72	120	16
21	2	6	6	15	72	180	12
15	2	6	7	9	84	126	14
22	2	6	6	16	72	192	18
12	2	6	7	6	84	84	14
13	2	6	7	7	84	98	12
14	2	6	7	8	84	112	12
18	2	6	7	12	84	168	14
17	2	6	7	11	84	154	16
16	2	6	7	10	84	140	20
19	2	6	7	13	84	182	14
12	2	6	8	6	96	96	12
22	2	6	7	16	84	224	10
20	2	6	7	14	84	196	12
21	2	6	7	15	84	210	14
16	2	6	8	10	96	160	12
13	2	6	8	7	96	112	14
14	2	6	8	8	96	128	12
15	2	6	8	9	96	144	12
19	2	6	8	13	96	208	12
18	2	6	8	12	96	192	14
20	2	6	8	14	96	224	14
